id,name,description,categories
0,Mashup_0,A photo and legal mashup that combines multiple services to provide automated processes.,"['Photo', 'Legal']"
1,Mashup_1,This mashup integrates marketing functionality for comprehensive functionality.,['Marketing']
2,Mashup_2,Web application combining marketing services to deliver real-time updates.,['Marketing']
3,Mashup_3,media integration platform enabling better data visualization.,['Media']
4,Mashup_4,"Mashup application that leverages tools, education, and project management APIs for automated processes.","['Tools', 'Education', 'Project Management']"
5,Mashup_5,A search and storage mashup that combines multiple services to provide enhanced user experience.,"['Search', 'Storage']"
6,Mashup_6,"This mashup integrates storage, photo, and entertainment functionality for enhanced user experience.","['Storage', 'Photo', 'Entertainment']"
7,Mashup_7,Web application combining health services to deliver enhanced user experience.,['Health']
8,Mashup_8,art and advertising integration platform enabling improved productivity.,"['Art', 'Advertising']"
9,Mashup_9,Mashup application that leverages search APIs for automated processes.,['Search']
10,Mashup_10,A advertising mashup that combines multiple services to provide streamlined workflows.,['Advertising']
11,Mashup_11,This mashup integrates analytics and advertising functionality for comprehensive functionality.,"['Analytics', 'Advertising']"
12,Mashup_12,Web application combining food services to deliver streamlined workflows.,['Food']
13,Mashup_13,entertainment integration platform enabling enhanced user experience.,['Entertainment']
14,Mashup_14,Mashup application that leverages advertising and entertainment APIs for better data visualization.,"['Advertising', 'Entertainment']"
15,Mashup_15,A entertainment and food mashup that combines multiple services to provide improved productivity.,"['Entertainment', 'Food']"
16,Mashup_16,This mashup integrates health functionality for automated processes.,['Health']
17,Mashup_17,Web application combining art and entertainment services to deliver automated processes.,"['Art', 'Entertainment']"
18,Mashup_18,"analytics, food, and photo integration platform enabling real-time updates.","['Analytics', 'Food', 'Photo']"
19,Mashup_19,Mashup application that leverages cloud APIs for better data visualization.,['Cloud']
20,Mashup_20,"A food, legal, and storage mashup that combines multiple services to provide automated processes.","['Food', 'Legal', 'Storage']"
21,Mashup_21,This mashup integrates marketing and storage functionality for improved productivity.,"['Marketing', 'Storage']"
22,Mashup_22,Web application combining productivity services to deliver automated processes.,['Productivity']
23,Mashup_23,storage integration platform enabling automated processes.,['Storage']
24,Mashup_24,"Mashup application that leverages health, entertainment, storage, and tools APIs for better data visualization.","['Health', 'Entertainment', 'Storage', 'Tools']"
25,Mashup_25,A search mashup that combines multiple services to provide improved productivity.,['Search']
26,Mashup_26,This mashup integrates education functionality for better data visualization.,['Education']
27,Mashup_27,Web application combining news services to deliver better data visualization.,['News']
28,Mashup_28,"health, entertainment, and cloud integration platform enabling real-time updates.","['Health', 'Entertainment', 'Cloud']"
29,Mashup_29,Mashup application that leverages entertainment and collaboration APIs for better data visualization.,"['Entertainment', 'Collaboration']"
30,Mashup_30,"A communication, advertising, and entertainment mashup that combines multiple services to provide automated processes.","['Communication', 'Advertising', 'Entertainment']"
31,Mashup_31,"This mashup integrates security, real estate, and storage functionality for better data visualization.","['Security', 'Real Estate', 'Storage']"
32,Mashup_32,Web application combining project management and art services to deliver automated processes.,"['Project Management', 'Art']"
33,Mashup_33,"art, legal, project management, and storage integration platform enabling automated processes.","['Art', 'Legal', 'Project Management', 'Storage']"
34,Mashup_34,Mashup application that leverages advertising APIs for real-time updates.,['Advertising']
35,Mashup_35,A advertising and storage mashup that combines multiple services to provide automated processes.,"['Advertising', 'Storage']"
36,Mashup_36,"This mashup integrates food, storage, and advertising functionality for improved productivity.","['Food', 'Storage', 'Advertising']"
37,Mashup_37,Web application combining database and storage services to deliver enhanced user experience.,"['Database', 'Storage']"
38,Mashup_38,"location, sports, and food integration platform enabling automated processes.","['Location', 'Sports', 'Food']"
39,Mashup_39,Mashup application that leverages advertising and food APIs for automated processes.,"['Advertising', 'Food']"
40,Mashup_40,"A location, project management, and storage mashup that combines multiple services to provide automated processes.","['Location', 'Project Management', 'Storage']"
41,Mashup_41,This mashup integrates food functionality for real-time updates.,['Food']
42,Mashup_42,Web application combining government services to deliver better data visualization.,['Government']
43,Mashup_43,shopping integration platform enabling enhanced user experience.,['Shopping']
44,Mashup_44,Mashup application that leverages storage APIs for better data visualization.,['Storage']
45,Mashup_45,A advertising mashup that combines multiple services to provide real-time updates.,['Advertising']
46,Mashup_46,This mashup integrates health functionality for real-time updates.,['Health']
47,Mashup_47,Web application combining food services to deliver comprehensive functionality.,['Food']
48,Mashup_48,productivity and advertising integration platform enabling improved productivity.,"['Productivity', 'Advertising']"
49,Mashup_49,Mashup application that leverages ecommerce APIs for streamlined workflows.,['eCommerce']
50,Mashup_50,A health mashup that combines multiple services to provide real-time updates.,['Health']
51,Mashup_51,This mashup integrates food functionality for streamlined workflows.,['Food']
52,Mashup_52,Web application combining storage services to deliver better data visualization.,['Storage']
53,Mashup_53,"cloud, storage, entertainment, and food integration platform enabling automated processes.","['Cloud', 'Storage', 'Entertainment', 'Food']"
54,Mashup_54,Mashup application that leverages ecommerce and storage APIs for automated processes.,"['eCommerce', 'Storage']"
55,Mashup_55,A food and storage mashup that combines multiple services to provide streamlined workflows.,"['Food', 'Storage']"
56,Mashup_56,This mashup integrates books functionality for real-time updates.,['Books']
57,Mashup_57,"Web application combining messaging, analytics, and tools services to deliver enhanced user experience.","['Messaging', 'Analytics', 'Tools']"
58,Mashup_58,education integration platform enabling automated processes.,['Education']
59,Mashup_59,Mashup application that leverages storage APIs for better data visualization.,['Storage']
60,Mashup_60,"A storage, science, entertainment, and search mashup that combines multiple services to provide automated processes.","['Storage', 'Science', 'Entertainment', 'Search']"
61,Mashup_61,This mashup integrates advertising and food functionality for improved productivity.,"['Advertising', 'Food']"
62,Mashup_62,Web application combining food and storage services to deliver improved productivity.,"['Food', 'Storage']"
63,Mashup_63,food and science integration platform enabling enhanced user experience.,"['Food', 'Science']"
64,Mashup_64,"Mashup application that leverages legal, government, and storage APIs for comprehensive functionality.","['Legal', 'Government', 'Storage']"
65,Mashup_65,"A science, project management, and search mashup that combines multiple services to provide comprehensive functionality.","['Science', 'Project Management', 'Search']"
66,Mashup_66,This mashup integrates books functionality for comprehensive functionality.,['Books']
67,Mashup_67,Web application combining security services to deliver real-time updates.,['Security']
68,Mashup_68,collaboration integration platform enabling automated processes.,['Collaboration']
69,Mashup_69,Mashup application that leverages books APIs for improved productivity.,['Books']
70,Mashup_70,A science mashup that combines multiple services to provide unified interface.,['Science']
71,Mashup_71,"This mashup integrates science, food, storage, and analytics functionality for unified interface.","['Science', 'Food', 'Storage', 'Analytics']"
72,Mashup_72,"Web application combining project management, travel, and storage services to deliver automated processes.","['Project Management', 'Travel', 'Storage']"
73,Mashup_73,legal integration platform enabling automated processes.,['Legal']
74,Mashup_74,Mashup application that leverages science and food APIs for automated processes.,"['Science', 'Food']"
75,Mashup_75,A storage mashup that combines multiple services to provide streamlined workflows.,['Storage']
76,Mashup_76,"This mashup integrates legal, advertising, storage, and art functionality for enhanced user experience.","['Legal', 'Advertising', 'Storage', 'Art']"
77,Mashup_77,Web application combining legal and search services to deliver improved productivity.,"['Legal', 'Search']"
78,Mashup_78,advertising integration platform enabling streamlined workflows.,['Advertising']
79,Mashup_79,Mashup application that leverages storage APIs for automated processes.,['Storage']
80,Mashup_80,A sports and analytics mashup that combines multiple services to provide improved productivity.,"['Sports', 'Analytics']"
81,Mashup_81,This mashup integrates food functionality for streamlined workflows.,['Food']
82,Mashup_82,Web application combining food and storage services to deliver better data visualization.,"['Food', 'Storage']"
83,Mashup_83,"government, storage, and entertainment integration platform enabling automated processes.","['Government', 'Storage', 'Entertainment']"
84,Mashup_84,Mashup application that leverages security APIs for automated processes.,['Security']
85,Mashup_85,A payment mashup that combines multiple services to provide automated processes.,['Payment']
86,Mashup_86,"This mashup integrates advertising, education, food, and storage functionality for streamlined workflows.","['Advertising', 'Education', 'Food', 'Storage']"
87,Mashup_87,Web application combining science and food services to deliver improved productivity.,"['Science', 'Food']"
88,Mashup_88,food integration platform enabling improved productivity.,['Food']
89,Mashup_89,Mashup application that leverages food APIs for better data visualization.,['Food']
90,Mashup_90,A storage mashup that combines multiple services to provide streamlined workflows.,['Storage']
91,Mashup_91,This mashup integrates food and science functionality for streamlined workflows.,"['Food', 'Science']"
92,Mashup_92,"Web application combining food, storage, and advertising services to deliver automated processes.","['Food', 'Storage', 'Advertising']"
93,Mashup_93,government and food integration platform enabling improved productivity.,"['Government', 'Food']"
94,Mashup_94,Mashup application that leverages tools APIs for better data visualization.,['Tools']
95,Mashup_95,A books mashup that combines multiple services to provide integrated data access.,['Books']
96,Mashup_96,"This mashup integrates security, entertainment, storage, and art functionality for enhanced user experience.","['Security', 'Entertainment', 'Storage', 'Art']"
97,Mashup_97,Web application combining sports and advertising services to deliver integrated data access.,"['Sports', 'Advertising']"
98,Mashup_98,"food, storage, sports, and advertising integration platform enabling better data visualization.","['Food', 'Storage', 'Sports', 'Advertising']"
99,Mashup_99,"Mashup application that leverages food, analytics, and sports APIs for streamlined workflows.","['Food', 'Analytics', 'Sports']"
100,Mashup_100,A tools mashup that combines multiple services to provide improved productivity.,['Tools']
101,Mashup_101,"This mashup integrates project management, education, and storage functionality for better data visualization.","['Project Management', 'Education', 'Storage']"
102,Mashup_102,Web application combining sports and food services to deliver automated processes.,"['Sports', 'Food']"
103,Mashup_103,sports and advertising integration platform enabling streamlined workflows.,"['Sports', 'Advertising']"
104,Mashup_104,Mashup application that leverages marketing APIs for improved productivity.,['Marketing']
105,Mashup_105,A food and marketing mashup that combines multiple services to provide unified interface.,"['Food', 'Marketing']"
106,Mashup_106,This mashup integrates media functionality for automated processes.,['Media']
107,Mashup_107,Web application combining analytics and food services to deliver improved productivity.,"['Analytics', 'Food']"
108,Mashup_108,mapping and sports integration platform enabling automated processes.,"['Mapping', 'Sports']"
109,Mashup_109,"Mashup application that leverages tools, storage, food, and legal APIs for real-time updates.","['Tools', 'Storage', 'Food', 'Legal']"
110,Mashup_110,"A project management, storage, and search mashup that combines multiple services to provide streamlined workflows.","['Project Management', 'Storage', 'Search']"
111,Mashup_111,This mashup integrates advertising functionality for comprehensive functionality.,['Advertising']
112,Mashup_112,Web application combining storage and entertainment services to deliver automated processes.,"['Storage', 'Entertainment']"
113,Mashup_113,financial integration platform enabling automated processes.,['Financial']
114,Mashup_114,"Mashup application that leverages food, storage, photo, and marketing APIs for real-time updates.","['Food', 'Storage', 'Photo', 'Marketing']"
115,Mashup_115,"A education, food, and social mashup that combines multiple services to provide automated processes.","['Education', 'Food', 'Social']"
116,Mashup_116,This mashup integrates ecommerce functionality for improved productivity.,['eCommerce']
117,Mashup_117,Web application combining storage and entertainment services to deliver enhanced user experience.,"['Storage', 'Entertainment']"
118,Mashup_118,shopping and food integration platform enabling real-time updates.,"['Shopping', 'Food']"
119,Mashup_119,Mashup application that leverages storage APIs for improved productivity.,['Storage']
120,Mashup_120,"A books, health, and storage mashup that combines multiple services to provide improved productivity.","['Books', 'Health', 'Storage']"
121,Mashup_121,This mashup integrates food and storage functionality for enhanced user experience.,"['Food', 'Storage']"
122,Mashup_122,"Web application combining sports, storage, and food services to deliver automated processes.","['Sports', 'Storage', 'Food']"
123,Mashup_123,marketing and storage integration platform enabling improved productivity.,"['Marketing', 'Storage']"
124,Mashup_124,Mashup application that leverages news APIs for automated processes.,['News']
125,Mashup_125,A ecommerce mashup that combines multiple services to provide automated processes.,['eCommerce']
126,Mashup_126,This mashup integrates cloud functionality for streamlined workflows.,['Cloud']
127,Mashup_127,"Web application combining security, storage, entertainment, and search services to deliver real-time updates.","['Security', 'Storage', 'Entertainment', 'Search']"
128,Mashup_128,"food, sports, and storage integration platform enabling real-time updates.","['Food', 'Sports', 'Storage']"
129,Mashup_129,"Mashup application that leverages storage, entertainment, and art APIs for automated processes.","['Storage', 'Entertainment', 'Art']"
130,Mashup_130,A project management mashup that combines multiple services to provide improved productivity.,['Project Management']
131,Mashup_131,This mashup integrates search functionality for automated processes.,['Search']
132,Mashup_132,"Web application combining shopping, health, and travel services to deliver automated processes.","['Shopping', 'Health', 'Travel']"
133,Mashup_133,"storage, tools, entertainment, and science integration platform enabling real-time updates.","['Storage', 'Tools', 'Entertainment', 'Science']"
134,Mashup_134,Mashup application that leverages collaboration APIs for real-time updates.,['Collaboration']
135,Mashup_135,A analytics and reference mashup that combines multiple services to provide better data visualization.,"['Analytics', 'Reference']"
136,Mashup_136,This mashup integrates productivity functionality for comprehensive functionality.,['Productivity']
137,Mashup_137,"Web application combining security, food, and photo services to deliver real-time updates.","['Security', 'Food', 'Photo']"
138,Mashup_138,"health, storage, and entertainment integration platform enabling better data visualization.","['Health', 'Storage', 'Entertainment']"
139,Mashup_139,Mashup application that leverages cloud APIs for integrated data access.,['Cloud']
140,Mashup_140,A storage and food mashup that combines multiple services to provide enhanced user experience.,"['Storage', 'Food']"
141,Mashup_141,This mashup integrates mapping and food functionality for unified interface.,"['Mapping', 'Food']"
142,Mashup_142,Web application combining science services to deliver enhanced user experience.,['Science']
143,Mashup_143,"health, analytics, and storage integration platform enabling better data visualization.","['Health', 'Analytics', 'Storage']"
144,Mashup_144,Mashup application that leverages gaming and storage APIs for real-time updates.,"['Gaming', 'Storage']"
145,Mashup_145,A project management mashup that combines multiple services to provide real-time updates.,['Project Management']
146,Mashup_146,This mashup integrates storage and entertainment functionality for comprehensive functionality.,"['Storage', 'Entertainment']"
147,Mashup_147,"Web application combining art, health, and advertising services to deliver integrated data access.","['Art', 'Health', 'Advertising']"
148,Mashup_148,translation integration platform enabling better data visualization.,['Translation']
149,Mashup_149,Mashup application that leverages travel APIs for improved productivity.,['Travel']
